iter	Passed	Remaining
439	3492	2063
440	3498	2054
441	3504	2045
442	3510	2036
443	3517	2027
444	3525	2020
445	3531	2011
446	3538	2002
447	3544	1993
448	3550	1984
449	3557	1976
450	3564	1968
451	3570	1958
452	3577	1950
453	3582	1941
454	3590	1933
455	3599	1926
456	3604	1916
457	3615	1910
458	3627	1904
459	3634	1896
460	3643	1888
461	3650	1880
462	3659	1873
463	3669	1866
464	3680	1859
465	3687	1851
466	3694	1843
467	3699	1834
468	3708	1826
469	3716	1818
470	3725	1811
471	3732	1802
472	3739	1794
473	3745	1785
474	3750	1776
475	3756	1767
476	3762	1759
477	3769	1750
478	3778	1743
479	3785	1734
480	3791	1726
481	3797	1717
482	3802	1708
483	3808	1699
484	3814	1691
485	3821	1682
486	3828	1674
487	3835	1666
488	3843	1658
489	3848	1649
490	3855	1640
491	3861	1632
492	3867	1623
493	3873	1615
494	3879	1606
495	3884	1597
496	3890	1589
497	3896	1580
498	3903	1572
499	3908	1563
500	3916	1555
501	3923	1547
502	3929	1538
503	3937	1531
504	3943	1522
505	3949	1514
506	3957	1506
507	3965	1498
508	3972	1490
509	3978	1482
510	3984	1473
511	3991	1465
512	3997	1457
513	4003	1448
514	4010	1440
515	4016	1432
516	4022	1423
517	4031	1416
518	4037	1408
519	4045	1400
520	4051	1392
521	4057	1383
522	4063	1375
523	4071	1367
524	4077	1359
525	4082	1350
526	4089	1342
527	4095	1333
528	4101	1325
529	4108	1317
530	4115	1309
531	4121	1301
532	4128	1293
533	4133	1285
534	4138	1276
535	4144	1268
536	4150	1259
537	4156	1251
538	4161	1243
539	4167	1234
540	4172	1226
541	4177	1217
542	4183	1209
543	4189	1201
544	4196	1193
545	4203	1185
546	4209	1177
547	4215	1169
548	4220	1160
549	4228	1153
550	4234	1145
551	4242	1137
552	4248	1129
553	4255	1121
554	4262	1113
555	4267	1105
556	4275	1097
557	4281	1089
558	4287	1081
559	4294	1073
560	4300	1065
561	4308	1057
562	4317	1050
563	4324	1042
564	4331	1034
565	4339	1027
566	4344	1019
567	4350	1011
568	4357	1003
569	4363	995
570	4369	987
571	4376	979
572	4383	971
573	4388	963
574	4394	955
575	4400	947
576	4407	939
577	4413	931
578	4418	923
579	4425	915
580	4432	907
581	4440	900
582	4447	892
583	4453	884
584	4460	876
585	4467	869
586	4473	861
587	4480	853
588	4487	845
589	4497	838
590	4504	830
591	4512	823
592	4520	815
593	4526	807
594	4534	800
595	4540	792
596	4545	784
597	4553	776
598	4561	769
599	4572	762
600	4592	756
601	4622	752
602	4646	747
603	4659	740
604	4668	733
605	4675	725
606	4682	717
607	4690	709
608	4696	701
609	4703	693
610	4710	686
611	4718	678
612	4726	670
613	4732	662
614	4737	654
615	4744	647
616	4751	639
617	4757	631
618	4765	623
619	4771	615
620	4778	607
621	4785	600
622	4792	592
623	4800	584
624	4808	577
625	4814	569
626	4821	561
627	4827	553
628	4835	545
629	4843	538
630	4849	530
631	4856	522
632	4862	514
633	4868	506
634	4873	498
635	4879	491
636	4887	483
637	4894	475
638	4903	468
639	4911	460
640	4918	452
641	4927	445
642	4936	437
643	4943	429
644	4949	422
645	4956	414
646	4965	406
647	4973	399
648	4982	391
649	4989	383
650	4996	376
651	5003	368
652	5012	360
653	5020	353
654	5027	345
655	5033	337
656	5038	329
657	5045	322
658	5051	314
659	5058	306
660	5066	298
661	5072	291
662	5078	283
663	5084	275
664	5091	267
665	5097	260
666	5105	252
667	5112	244
668	5118	237
669	5125	229
670	5131	221
671	5138	214
672	5147	206
673	5153	198
674	5159	191
675	5166	183
676	5174	175
677	5181	168
678	5187	160
679	5194	152
680	5201	145
681	5210	137
682	5217	129
683	5223	122
684	5229	114
685	5237	106
686	5244	99
687	5250	91
688	5257	83
689	5264	76
690	5273	68
691	5280	61
692	5288	53
693	5297	45
694	5307	38
695	5313	30
696	5321	22
697	5328	15
698	5336	7
699	5346	0
