iter	RMSE
156	21.53786968
157	21.53443472
158	21.53123072
159	21.52674119
160	21.52377199
161	21.52206991
162	21.51616714
163	21.5137931
164	21.51150819
165	21.50912714
166	21.50661577
167	21.50306919
168	21.49457139
169	21.49133981
170	21.48731709
171	21.4854818
172	21.4821835
173	21.47862901
174	21.47676792
175	21.47039602
176	21.46866535
177	21.46614694
178	21.46306125
179	21.45856123
180	21.45376526
181	21.44892194
182	21.44774432
183	21.44392151
184	21.43923589
185	21.4372545
186	21.43419471
187	21.43005874
188	21.42820616
189	21.4151663
190	21.41138857
191	21.40851642
192	21.40707226
193	21.4050857
194	21.40294579
195	21.39753389
196	21.39428139
197	21.39268414
198	21.38556507
199	21.38379821
200	21.37889273
201	21.37454763
202	21.3733162
203	21.37074262
204	21.36869066
205	21.36676977
206	21.36496019
207	21.36275985
208	21.36157465
209	21.35863734
210	21.35621572
211	21.35287072
212	21.34875067
213	21.34649789
214	21.34373244
215	21.34109826
216	21.33858132
217	21.33461528
218	21.33165031
219	21.33035873
220	21.32409018
221	21.32104679
222	21.31779222
223	21.31671661
224	21.31401309
225	21.30801518
226	21.30636742
227	21.30469474
228	21.30134191
229	21.29897118
230	21.29686893
231	21.29508647
232	21.29398919
233	21.29131876
234	21.28862896
235	21.28630232
236	21.28382698
237	21.2818499
238	21.27902879
239	21.27709182
240	21.27330963
241	21.27049916
242	21.26818763
243	21.26494099
244	21.26054041
245	21.25757117
246	21.25380244
247	21.25169172
248	21.24994624
249	21.2472119
250	21.24544834
251	21.24003667
252	21.237901
253	21.23408161
254	21.23103078
255	21.22817911
256	21.22588463
257	21.22327848
258	21.22043147
259	21.21504926
260	21.21152116
261	21.20902338
262	21.20689894
263	21.20108295
264	21.19961995
265	21.19717865
266	21.19573917
267	21.19283516
268	21.19037638
269	21.18826553
270	21.18587495
271	21.18525732
272	21.18014795
273	21.17811755
274	21.17550177
275	21.17274247
276	21.17095447
277	21.16554198
278	21.16365929
279	21.15294285
280	21.15105099
281	21.14853692
282	21.14601992
283	21.14459282
284	21.14225981
285	21.1404607
286	21.13829724
287	21.13684268
288	21.13461263
289	21.13233974
290	21.13024719
291	21.12803507
292	21.12604714
293	21.12326287
294	21.12057574
295	21.11489695
296	21.1129222
297	21.11035993
298	21.10797956
299	21.10648208
300	21.1040556
301	21.09846209
302	21.0965901
303	21.09530935
304	21.09306459
305	21.0904455
306	21.08793725
307	21.08606238
308	21.0840989
309	21.08154608
310	21.07596198
311	21.07481827
312	21.07270855
313	21.07073106
314	21.06927499
315	21.0677654
316	21.06598922
317	21.06293393
318	21.06211958
319	21.05976937
320	21.05762548
321	21.0548709
322	21.05122862
323	21.04959713
324	21.04787954
325	21.04501749
326	21.0437984
327	21.04180306
328	21.03992026
329	21.03793119
330	21.03560337
331	21.03317523
332	21.03197611
333	21.03017214
334	21.02859357
335	21.02771315
336	21.0258595
337	21.02444416
338	21.02259445
339	21.02008112
340	21.01791596
341	21.01494484
342	21.01339444
343	21.01126902
344	21.01028333
345	21.00822421
346	21.00594123
347	21.00542444
348	21.00438314
349	21.00207157
350	21.00163342
351	20.9986635
352	20.99634032
353	20.99374938
354	20.99135639
355	20.98832274
356	20.98613908
357	20.98463151
358	20.98209787
359	20.97978946
360	20.97809003
361	20.97769563
362	20.97730818
363	20.97454699
364	20.97276436
365	20.96968406
366	20.96741348
367	20.96730042
368	20.96558241
369	20.96397508
370	20.96216064
371	20.96167324
372	20.95946389
373	20.95793061
374	20.95575998
375	20.95147608
376	20.95018354
377	20.94079371
378	20.93789274
379	20.93557052
380	20.93434008
381	20.93303463
382	20.93187671
383	20.92920628
384	20.92716605
385	20.92494937
386	20.9221784
387	20.91987859
388	20.91787079
389	20.9161315
390	20.91446081
391	20.91308311
392	20.9112257
393	20.909138
394	20.90692777
395	20.90491198
396	20.9039981
397	20.90133437
398	20.89895685
399	20.89748861
400	20.89551847
401	20.8935346
402	20.8909036
403	20.88928906
404	20.88822126
405	20.88690327
406	20.88493907
407	20.88227275
408	20.88092075
409	20.88071009
410	20.8806268
411	20.88032867
412	20.87847517
413	20.8762347
414	20.87469427
415	20.87462406
416	20.86956407
417	20.86696336
418	20.86528384
419	20.86277762
420	20.86059893
421	20.85944817
422	20.85837284
423	20.85749251
424	20.85652793
425	20.85645475
426	20.85435677
427	20.85188709
428	20.85031976
429	20.84699119
430	20.84623072
431	20.84284193
432	20.84042148
433	20.83911508
434	20.83775699
435	20.83654915
436	20.83531698
437	20.83421445
438	20.83303899
439	20.8312631
440	20.8296702
441	20.82628606
442	20.82508079
443	20.82308847
444	20.8201011
445	20.81869131
446	20.81726453
447	20.81427126
448	20.81309454
449	20.81158199
450	20.80992802
451	20.80912779
452	20.80822671
453	20.80799633
454	20.80610597
455	20.80421501
456	20.80400747
457	20.80201511
458	20.80027245
459	20.79953762
460	20.79869182
461	20.79728955
462	20.79351915
463	20.7920581
464	20.7906647
465	20.7886839
466	20.78726539
467	20.78610657
468	20.78391039
469	20.7829541
470	20.78139621
471	20.77960758
472	20.77824631
473	20.77681832
474	20.77529437
475	20.77412441
476	20.77319275
477	20.77186234
478	20.77064846
479	20.7693775
480	20.76601386
481	20.76422579
482	20.76272001
483	20.76182522
484	20.75980423
485	20.75895224
486	20.75747182
487	20.75490558
488	20.75221433
489	20.75212457
490	20.75087582
491	20.74859047
492	20.74772583
493	20.7456877
494	20.74296017
495	20.73972392
496	20.73758779
497	20.7346286
498	20.73356244
499	20.73125853
500	20.72954767
501	20.72697386
502	20.72627205
503	20.72353725
504	20.72181839
505	20.72079036
506	20.7193817
507	20.71709007
508	20.71566251
509	20.71315983
510	20.71197417
511	20.70902296
512	20.70742797
513	20.70597141
514	20.70420927
515	20.70257167
516	20.70102116
517	20.70000251
518	20.69858235
519	20.69677895
520	20.69584612
521	20.69476789
522	20.69378262
523	20.69262747
524	20.69049393
525	20.68886692
526	20.68668319
527	20.68453565
528	20.68351298
529	20.6823205
530	20.68091629
531	20.67963248
532	20.67839886
533	20.67773802
534	20.67768509
535	20.67661974
536	20.67582943
537	20.67310573
538	20.67293566
539	20.67049523
540	20.66960757
541	20.66842352
542	20.66781087
543	20.66668143
544	20.66400258
545	20.66265163
546	20.66128069
547	20.66025828
548	20.65918938
549	20.65707108
550	20.65582042
551	20.65432615
552	20.65299552
553	20.65070666
554	20.64986119
555	20.64881676
556	20.6472213
557	20.64645832
558	20.64500114
559	20.64257378
560	20.64182924
561	20.6405231
562	20.63916022
563	20.63761971
564	20.63458196
565	20.6322813
566	20.63092958
567	20.62955683
568	20.62880189
569	20.62572676
570	20.6248772
571	20.62297607
572	20.62200516
573	20.62023725
574	20.61905131
575	20.61760034
576	20.61462284
577	20.61338893
578	20.61288461
579	20.61048522
580	20.60850518
581	20.60629487
582	20.60548964
583	20.60355663
584	20.60208324
585	20.6006238
586	20.59913277
587	20.59810966
588	20.59721902
589	20.5959951
590	20.59483278
591	20.59370138
592	20.59240848
593	20.59119769
594	20.58970339
595	20.58845656
596	20.58686083
597	20.58474363
598	20.58372828
599	20.58215189
600	20.58004548
601	20.5792348
602	20.57843781
603	20.57756136
604	20.57614147
605	20.57526749
606	20.57350661
607	20.57165511
608	20.56976709
609	20.56847435
610	20.56775611
611	20.56640504
612	20.56403053
613	20.56277587
614	20.56207428
615	20.5607573
616	20.55917263
617	20.5578914
618	20.55677764
619	20.55554404
620	20.55411297
621	20.55227068
622	20.55021792
623	20.54871565
624	20.54751478
625	20.54586377
626	20.54302583
627	20.54247271
628	20.54111011
629	20.53956578
630	20.5384675
631	20.53720062
632	20.53638623
633	20.5349785
634	20.53400833
635	20.53310275
636	20.53176552
637	20.53066327
638	20.52966254
639	20.52718494
640	20.52550076
641	20.52361639
642	20.52209574
643	20.52081624
644	20.51977356
645	20.51749298
646	20.51635076
647	20.51292475
648	20.51142542
649	20.51095441
650	20.50920168
651	20.50813464
652	20.50646633
653	20.50482626
654	20.50360411
655	20.50271322
656	20.50268143
657	20.50102855
658	20.50055359
659	20.49908417
660	20.49808976
661	20.49690205
662	20.49640621
663	20.49443307
664	20.49346048
665	20.4923828
666	20.4908777
667	20.48980394
668	20.4890496
669	20.48746381
670	20.48243352
671	20.48170424
672	20.47938302
673	20.4772963
674	20.47514331
675	20.47387973
676	20.47226741
677	20.47064556
678	20.46855319
679	20.46585817
680	20.46482484
681	20.46345523
682	20.46189837
683	20.46064749
684	20.45929376
685	20.45756396
686	20.45602199
687	20.45458671
688	20.45358619
689	20.45261231
690	20.45119127
691	20.45038394
692	20.44884736
693	20.44708844
694	20.44566695
695	20.44487143
696	20.44321071
697	20.44237082
698	20.44121275
699	20.44004251
