iter	RMSE
0	32.02179677
1	31.26478318
2	30.5689034
3	29.92130788
4	29.3139727
5	28.75983193
6	28.24688329
7	27.76165157
8	27.32024006
9	26.91084376
10	26.53241334
11	26.18604923
12	25.86734179
13	25.57537438
14	25.29785027
15	25.05059995
16	24.8210406
17	24.60400295
18	24.40669426
19	24.2251484
20	24.05400222
21	23.89658643
22	23.75625631
23	23.62484142
24	23.50110973
25	23.39559428
26	23.29472756
27	23.19839001
28	23.11172329
29	23.02894944
30	22.95619715
31	22.88861246
32	22.82488619
33	22.76140715
34	22.70785078
35	22.65869788
36	22.61237049
37	22.56852563
38	22.52792503
39	22.49125237
40	22.45416708
41	22.42275302
42	22.39358549
43	22.36382532
44	22.33839164
45	22.31389302
46	22.28907255
47	22.26634148
48	22.24568255
49	22.22699178
50	22.20843841
51	22.19185507
52	22.17546632
53	22.15962784
54	22.14421408
55	22.1303083
56	22.1156547
57	22.10359761
58	22.09133936
59	22.08068069
60	22.06297823
61	22.0514791
62	22.04175759
63	22.02928061
64	22.01929326
65	22.01059442
66	21.99991137
67	21.9892772
68	21.98096258
69	21.97122224
70	21.96046887
71	21.95296074
72	21.94671287
73	21.93843746
74	21.92921954
75	21.92130412
76	21.91556848
77	21.90808931
78	21.90231217
79	21.89608328
80	21.89008403
81	21.88265564
82	21.87637018
83	21.87054438
84	21.86451283
85	21.8590109
86	21.85391814
87	21.84815671
88	21.84276457
89	21.83824986
90	21.83162235
91	21.82601972
92	21.81879494
93	21.81434112
94	21.81078655
95	21.80611299
96	21.79994725
97	21.79556538
98	21.79129166
99	21.78625321
100	21.78213688
101	21.77591752
102	21.77187194
103	21.76742171
104	21.76187849
105	21.75816149
106	21.75327628
107	21.74982983
108	21.74751954
109	21.7442819
110	21.73823586
111	21.73237179
112	21.72721628
113	21.72250776
114	21.7197242
115	21.71590933
116	21.71066157
117	21.70694363
118	21.70392812
119	21.69594146
120	21.691609
121	21.68749851
122	21.68044879
123	21.67731146
124	21.67368998
125	21.66987544
126	21.66576159
127	21.66140503
128	21.65526071
129	21.65083572
130	21.64591984
131	21.64131945
132	21.63862833
133	21.63373105
134	21.63020475
135	21.62698016
136	21.62348304
137	21.61669095
138	21.6135586
139	21.60923704
140	21.60654495
141	21.60182006
142	21.59880729
143	21.59437511
144	21.5908313
145	21.58707714
146	21.58411258
147	21.58230305
148	21.57917042
149	21.57601353
150	21.5687822
151	21.56654299
152	21.5522858
153	21.54863989
154	21.54449772
155	21.54111185
